,filename,volume,model_height,model_radius,infill,layer_height,est_time
19942,stls/6213.stl,33533.19726614789,106.49200439453125,10.011612798843945,20.0,0.2,83.0
19943,stls/621527.stl,6340.11314924476,60.0,5.7995986857259565,20.0,0.2,45.0
19944,stls/621554.stl,42477.87324210008,90.0,12.257028367894055,20.0,0.2,132.0
19945,stls/621559.stl,262809.802325917,20.0,64.67416727965934,20.0,0.2,419.0
19946,stls/621682.stl,210312.8191200892,35.0,43.7344746386345,20.0,0.2,297.0
19947,stls/621711.stl,146477.5795089709,145.0,17.931913693281437,20.0,0.2,729.0
19948,stls/621722.stl,9577.068333765761,10.199999809265137,17.28786151366669,20.0,0.2,52.0
19949,stls/621733.stl,1192.4969082687287,29.289100646972656,3.5999848765987044,20.0,0.2,6.0
19950,stls/621820.stl,430.90257317249717,2.6161372661590576,7.240763185421016,20.0,0.2,3.0
19951,stls/621886.stl,2713.776213040653,40.00199890136719,4.6469845929753815,20.0,0.2,22.0
19952,stls/621911.stl,4290.8736170475995,4.044000148773193,18.377750185629242,20.0,0.2,16.0
19953,stls/621927.stl,32131.42185778431,18.010000228881836,23.830501203078242,20.0,0.2,116.0
19954,stls/621959.stl,862396.9267874382,135.54647827148438,45.00228280899966,20.0,0.2,557.0
19955,stls/621964.stl,95283.55022369228,85.99700164794922,18.77986102656419,20.0,0.2,169.0
19956,stls/622071.stl,1133.0259581941275,30.0,3.4672436881767874,20.0,0.2,11.0
19957,stls/622086.stl,1716.1949288050334,5.0,10.452576834992689,20.0,0.2,9.0
19958,stls/62213.stl,43131.70868206024,21.600000381469727,25.211374048961613,20.0,0.2,67.0
19959,stls/622173.stl,14626.233194566643,30.0,12.457493893851055,20.0,0.2,51.0
19960,stls/622175.stl,3796.3601683974266,7.0,13.138922401536922,20.0,0.2,17.0
19961,stls/622261.stl,2862.8298294516467,1.399999976158142,25.512840642299263,20.0,0.2,12.0
19962,stls/622282.stl,79108.8587997089,9.0,52.89521280656366,20.0,0.2,145.0
19963,stls/622334.stl,8226.042941878628,25.001998901367188,10.233711838653514,20.0,0.2,33.0
19964,stls/622610.stl,272.006941300022,1.3911499977111816,7.88911119548589,20.0,0.2,2.0
19965,stls/622722.stl,175672.07429809612,99.61840057373047,23.69226851409112,20.0,0.2,557.0
19966,stls/62276.stl,1747.1168262755507,13.428299903869629,6.4353996239045275,20.0,0.2,11.0
19967,stls/622764.stl,8200.022645000665,8.0,18.062904925684947,20.0,0.2,58.0
19968,stls/62293.stl,46472.57250842793,39.5989990234375,19.327750756557656,20.0,0.2,216.0
19969,stls/622935.stl,8201.070619403477,9.800000190734863,16.32102001564434,20.0,0.2,44.0
19970,stls/623002.stl,71124.00490692629,71.58897399902344,17.783207506710546,20.0,0.2,179.0
19971,stls/623025.stl,1178.4994862503372,7.0,7.320499956931129,20.0,0.2,6.0
19972,stls/623050.stl,1589.1734252395108,9.0,7.497033577165285,20.0,0.2,8.0
19973,stls/623089.stl,34576.92220147451,5.0,46.91732339027268,20.0,0.2,93.0
19974,stls/623138.stl,10765.504811512581,21.5,12.624757167848621,20.0,0.2,58.0
19975,stls/623141.stl,21939.841659027807,18.0,19.6972481176877,20.0,0.2,69.0
19976,stls/623204.stl,7609.217690049008,50.0,6.9600132426126695,20.0,0.2,38.0
19977,stls/623243.stl,3679.3985219307556,6.0,13.97133329798667,20.0,0.2,18.0
19978,stls/623265.stl,184062.72344489707,7.5,88.38475324807534,20.0,0.2,439.0
19979,stls/623298.stl,23322.77137806763,29.0,15.999858515369352,20.0,0.2,85.0
19980,stls/623341.stl,3875.2605399999106,37.28600311279297,5.751784431767938,20.0,0.2,14.0
19981,stls/623423.stl,60931.70539885762,54.624786376953125,18.843078382420984,20.0,0.2,69.0
19982,stls/62353.stl,58624.614568767895,41.20000076293945,21.28219665132496,20.0,0.2,152.0
19983,stls/623650.stl,6734.37494631814,30.0,8.453043086529053,20.0,0.2,70.0
19984,stls/623651.stl,122464.67800950755,100.0,19.743788319048836,20.0,0.2,413.0
19985,stls/623682.stl,8525.924604604641,8.0,18.418353925172315,20.0,0.2,55.0
19986,stls/623763.stl,7458.970275722444,5.0,21.791117362418518,20.0,0.2,35.0
19987,stls/623830.stl,1529.100158939759,5.0,9.866384318033946,20.0,0.2,8.0
19988,stls/623867.stl,136911.2102176292,99.89730072021484,20.88659720888195,20.0,0.2,140.0
19989,stls/624059.stl,13666.1943359375,33.03081130981445,11.475965638791855,20.0,0.2,23.0
19990,stls/624062.stl,20067.497420845244,3.0,46.14355433507755,20.0,0.2,74.0
19991,stls/624134.stl,104460.0078938802,100.0,18.234761644578434,20.0,0.2,732.0
19992,stls/624140.stl,5344.767714652423,6.0,16.8389053629277,20.0,0.2,20.0
